datetime_utc,second,frame,bee1_x,bee1_y,bee1_r,bee1_p
2022-05-05 12:47:00+00:00,217.0,5425.0,-105.22058183050676,133.67565155774142,170.11922483992532,2.237642447038
2022-05-05 12:47:00.200000+00:00,217.2,5430.0,-120.0822370267644,120.82427471776067,170.34743617215062,2.353114310503861
2022-05-05 12:47:00.400000+00:00,217.4,5435.0,-131.2172970115216,107.03249546901672,169.3337949770658,2.4573582380793684
2022-05-05 12:47:00.600000+00:00,217.6,5440.0,-139.8685651564898,91.9670757574453,167.39521660522715,2.5599456393394937
2022-05-05 12:47:00.800000+00:00,217.8,5445.0,-148.61695985780926,75.60225172659098,166.7414202395689,2.671004993566538
2022-05-05 12:47:01+00:00,218.0,5450.0,-157.68505746864147,58.4527277004626,168.17044545494073,2.786603427346701
2022-05-05 12:47:01.200000+00:00,218.2,5455.0,-164.53239749132686,41.12800663049653,169.594878323734,2.8966431227447007
2022-05-05 12:47:01.400000+00:00,218.4,5460.0,-168.78896729756462,22.572558157808405,170.2916200614874,3.008649019737443
2022-05-05 12:47:01.600000+00:00,218.6,5465.0,-170.5860215080266,4.304886338114835,170.64033163446734,3.116362140591963
2022-05-05 12:47:01.800000+00:00,218.8,5470.0,-171.13341818100545,-12.105431681861209,171.5610337300376,3.212211832345203
2022-05-05 12:47:02+00:00,219.0,5475.0,-169.90052007061328,-25.61519094990229,171.82061787708955,3.291231483546936
2022-05-05 12:47:02.200000+00:00,219.2,5480.0,-168.49743655761364,-36.56707383167821,172.41965379590124,3.3552974016646187
2022-05-05 12:47:02.400000+00:00,219.4,5485.0,-165.09320706992227,-49.31648427648359,172.30171978835523,3.431873841201379
2022-05-05 12:47:02.600000+00:00,219.6,5490.0,-159.53878281428874,-63.65032503145051,171.76724687341903,3.521206117074507
2022-05-05 12:47:02.800000+00:00,219.8,5495.0,-151.92572710059034,-78.01471811766386,170.78560477400194,3.615986307851939
2022-05-05 12:47:03+00:00,220.0,5500.0,-140.1198959750424,-91.92334437787709,167.58128323196027,3.722197656824669
2022-05-05 12:47:03.200000+00:00,220.2,5505.0,-125.61418488239669,-105.39073737315849,163.9699087263483,3.839667923775128
2022-05-05 12:47:03.400000+00:00,220.4,5510.0,-112.7105171775494,-120.61832874863327,165.08313636632917,3.9608691226836665
2022-05-05 12:47:03.600000+00:00,220.6,5515.0,-100.88033926984306,-135.03430959651638,168.55594803923853,4.070764486041235
2022-05-05 12:47:03.800000+00:00,220.8,5520.0,-90.43196687939704,-144.18741465674805,170.19973906875816,4.152221050878476
2022-05-05 12:47:04+00:00,221.0,5525.0,-79.76324935083045,-151.29443756480708,171.032695076275,4.227214645123726
2022-05-05 12:47:04.200000+00:00,221.2,5530.0,-67.44502955903492,-156.28319840270382,170.21536392229103,4.304978054418245
2022-05-05 12:47:04.400000+00:00,221.4,5535.0,-53.50431313005466,-160.09026663035596,168.79456446609117,4.3898465706520575
2022-05-05 12:47:04.600000+00:00,221.6,5540.0,-38.40618261381574,-164.34300991623402,168.77102764187092,4.482813834357962
2022-05-05 12:47:04.800000+00:00,221.8,5545.0,-21.88246943290428,-168.28542676129928,169.70217243369223,4.583082632040974
2022-05-05 12:47:05+00:00,222.0,5550.0,-4.362366137889228,-170.5728423280648,170.62861652781416,4.686819755217653
2022-05-05 12:47:05.200000+00:00,222.2,5555.0,12.18811920032834,-169.4053219220038,169.84320223411694,4.784211720991845
2022-05-05 12:47:05.400000+00:00,222.4,5560.0,27.24078140390653,-165.22421030634428,167.45476954345165,4.875790608461426
2022-05-05 12:47:05.600000+00:00,222.6,5565.0,42.264246530283785,-160.5977228442102,166.06593605408173,4.969722524660009
2022-05-05 12:47:05.800000+00:00,222.8,5570.0,58.03142065443784,-157.6173134154832,167.96089804322605,5.065166427210567
2022-05-05 12:47:06+00:00,223.0,5575.0,71.78220371788494,-151.81144965287038,167.92677277998862,5.15407174172166
2022-05-05 12:47:06.200000+00:00,223.2,5580.0,83.36469150760706,-142.63390324766974,165.20926773587522,5.241308239267424
2022-05-05 12:47:06.400000+00:00,223.4,5585.0,98.00923409623547,-133.41912450069043,165.54900407632002,5.34595880351977
2022-05-05 12:47:06.600000+00:00,223.6,5590.0,113.31441760642916,-124.02359103924653,167.99407243041193,5.452695696322271
2022-05-05 12:47:06.800000+00:00,223.8,5595.0,126.53163750165828,-113.94300713939572,170.27408541765666,5.550088499048965
2022-05-05 12:47:07+00:00,224.0,5600.0,138.03427456946935,-101.94455670446708,171.59881583970784,5.647055641059478
2022-05-05 12:47:07.200000+00:00,224.2,5605.0,145.67618878287485,-90.70055724530536,171.60461259218152,5.72630102188167
2022-05-05 12:47:07.400000+00:00,224.4,5610.0,151.33168766345614,-77.46371390920254,170.00560774185251,5.810078669829284
2022-05-05 12:47:07.600000+00:00,224.6,5615.0,157.9148605199536,-61.63821573859404,169.51806043154772,5.911046633327977
2022-05-05 12:47:07.800000+00:00,224.8,5620.0,163.93898859040445,-43.96300644211563,169.7313698627165,6.0211828288028055
2022-05-05 12:47:08+00:00,225.0,5625.0,168.327532827815,-25.02977016902006,170.17828211206358,6.135570098580762
2022-05-05 12:47:08.200000+00:00,225.2,5630.0,170.12193181438278,-6.3660290261928765,170.24099979094294,6.245782368988252
2022-05-05 12:47:08.400000+00:00,225.4,5635.0,170.29059554980194,12.011496161505688,170.71368712772883,0.0704186593716148
2022-05-05 12:47:08.600000+00:00,225.6,5640.0,168.53517137842476,30.85344740301251,171.33604176648143,0.1810633479188143
2022-05-05 12:47:08.800000+00:00,225.8,5645.0,163.79233006601194,49.074948235374514,170.9861922283729,0.2911052786554555
2022-05-05 12:47:09+00:00,226.0,5650.0,158.8729051192656,66.49006950840493,172.22522847790822,0.3963616525605111
2022-05-05 12:47:09.200000+00:00,226.2,5655.0,153.07908942847538,79.99500212094264,172.72060671668794,0.4815425207842334
2022-05-05 12:47:09.400000+00:00,226.4,5660.0,146.24970123247746,91.01777381956984,172.25913694680838,0.5566878405618627
2022-05-05 12:47:09.600000+00:00,226.6,5665.0,138.10730648913565,101.68969881482607,171.50633501633138,0.6346813503140042
2022-05-05 12:47:09.800000+00:00,226.8,5670.0,124.85515449165716,113.88384657521304,168.9921303312738,0.7394752339111521
2022-05-05 12:47:10+00:00,227.0,5675.0,110.30698095551456,128.59900320290194,169.42648456572613,0.8618148465697898
2022-05-05 12:47:10.200000+00:00,227.2,5680.0,97.31357556595016,141.1211646419861,171.420871247758,0.9671015741469378
2022-05-05 12:47:10.400000+00:00,227.4,5685.0,85.96361419248092,146.52163961763875,169.87740827218585,1.0402168494878865
2022-05-05 12:47:10.600000+00:00,227.6,5690.0,70.47948387490588,149.85137239173062,165.5982833695997,1.13116579402234
2022-05-05 12:47:10.800000+00:00,227.8,5695.0,52.83872003117571,156.9118035907824,165.56945503517622,1.2459815425462015
2022-05-05 12:47:11+00:00,228.0,5700.0,37.61896382875687,166.1267738015711,170.3328841218503,1.348104725742472
2022-05-05 12:47:11.200000+00:00,228.2,5705.0,24.009998600155864,171.7439364519896,173.414127858155,1.4318954250724345
2022-05-05 12:47:11.400000+00:00,228.4,5710.0,10.489056276112455,172.86035612413187,173.17829835439875,1.510191273327178
2022-05-05 12:47:11.600000+00:00,228.6,5715.0,-6.197389520459672,173.16323145382756,173.2740960570857,1.6065703503923292
2022-05-05 12:47:11.800000+00:00,228.8,5720.0,-24.170601114749385,171.3947797012644,173.09069433997104,1.7108954336169944
2022-05-05 12:47:12+00:00,229.0,5725.0,-39.74438402997585,167.21768735885098,171.8760338952602,1.8041469855770669
2022-05-05 12:47:12.200000+00:00,229.2,5730.0,-55.68068248987823,162.02258712195618,171.32325335525974,1.9018119132906977
2022-05-05 12:47:12.400000+00:00,229.4,5735.0,-71.4992074733089,155.46167305181723,171.11536593006892,2.001865186764715
2022-05-05 12:47:12.600000+00:00,229.6,5740.0,-85.37075248218612,146.429560314253,169.498618027405,2.0986338530829416
2022-05-05 12:47:12.800000+00:00,229.8,5745.0,-100.90373038873808,136.2599680808247,169.55335947055283,2.208204940981745
2022-05-05 12:47:13+00:00,230.0,5750.0,-115.73113155710584,125.15719196300944,170.4641238253778,2.3170840274884763
2022-05-05 12:47:13.200000+00:00,230.2,5755.0,-126.96942057144064,111.54296614205433,169.00611543969305,2.4207823203560546
2022-05-05 12:47:13.400000+00:00,230.4,5760.0,-137.8164618954925,95.95805144533556,167.9325007453215,2.5333715824979
2022-05-05 12:47:13.600000+00:00,230.6,5765.0,-149.54774627326032,81.11597121873284,170.13033004778936,2.6445965138664587
2022-05-05 12:47:13.800000+00:00,230.8,5770.0,-158.4326864411274,66.97721633052757,172.00832433443122,2.741630399858729
2022-05-05 12:47:14+00:00,231.0,5775.0,-161.83953871812787,54.05390848252453,170.62784448832946,2.8192449844839262
2022-05-05 12:47:14.200000+00:00,231.2,5780.0,-164.0697493401684,40.008854499571,168.87744398501988,2.902407982396548
2022-05-05 12:47:14.400000+00:00,231.4,5785.0,-166.88785787862716,24.95461980392188,168.74326699716093,2.9931631079524488
2022-05-05 12:47:14.600000+00:00,231.6,5790.0,-169.29884320895653,9.21854966827569,169.54963866041507,3.0871950285123853
2022-05-05 12:47:14.800000+00:00,231.8,5795.0,-169.96199953879602,-7.551970870408698,170.12969626509417,3.1859967367051607
