datetime_utc,second,frame,bee1_x,bee1_y,bee2_x,bee2_y,bee3_x,bee3_y,bee1_r,bee1_p,bee2_r,bee2_p,bee3_r,bee3_p
2022-05-05 14:19:58.200000+00:00,188.2,4705.0,-144.04648002056828,98.58753534747449,-136.3704322507017,99.87825764110563,-108.17802066098903,117.99705315906048,174.55340309545815,2.5414033513740435,169.03420110044684,2.509448385548924,160.08056942787127,2.3128083178147687
2022-05-05 14:19:58.400000+00:00,188.4,4710.0,-142.68471305577555,100.6616147037044,-135.4978424288386,100.76834319978845,-108.37198140363262,118.12607888015503,174.61869319911327,2.527196410207728,168.86066532529333,2.5021424157730747,160.30675863777518,2.313156266146563
2022-05-05 14:19:58.600000+00:00,188.6,4715.0,-141.29307810474367,102.71689297388544,-134.6195333176906,101.65101536724974,-108.55585157427332,118.26900675951764,174.6839833027683,2.512989469041412,168.68712955013982,2.494836445997225,160.53638488174104,2.3133983671185696
2022-05-05 14:19:58.800000+00:00,188.8,4720.0,-139.87183461977784,104.75293998819518,-133.73556662354648,102.52623813853732,-109.2355866662752,118.29033995478046,174.74927340642336,2.4987825278750964,168.5135937749863,2.487530476221376,161.0124775318449,2.316418901749057
2022-05-05 14:19:59+00:00,189.0,4725.0,-138.42124824934945,106.76932915547994,-132.84600427311963,103.39397601433728,-110.2764460630311,117.08218986301256,174.81456351007844,2.4845755867087806,168.3400579998328,2.480224506445526,160.8388440004812,2.32626946833987
2022-05-05 14:19:59.200000+00:00,189.2,4730.0,-136.94159078875947,108.76563755251392,-131.9509084094557,104.2541940022702,-110.2039602487261,114.99404530173936,174.87985361373353,2.4703686455424645,168.1665222246793,2.4729185366696766,159.2750555151725,2.334927148882276
2022-05-05 14:19:59.400000+00:00,189.4,4735.0,-135.43314012951583,110.74144601257775,-131.05034138783307,105.10685761815432,-109.76656552993532,113.5562561129984,174.9451437173886,2.456161704376149,167.9929864495258,2.465612566893827,157.9358167441397,2.33922655628119
2022-05-05 14:19:59.600000+00:00,189.6,4740.0,-133.89618020743438,112.69633921333984,-130.14436577165645,105.9519328872361,-110.02809366605364,112.76732014078613,175.01043382104365,2.441954763209833,167.81945067437232,2.4583065971179776,157.55205453284455,2.343900303261434
2022-05-05 14:19:59.800000+00:00,189.8,4745.0,-132.33100094947258,114.62990576401955,-129.23304432834357,106.78938634538788,-110.64697216019844,112.20948828456083,175.0757239246987,2.4277478220435174,167.64591489921884,2.451000627342128,157.58718764323046,2.3491832933064507
2022-05-05 14:20:00+00:00,190.0,4750.0,-130.7378982193065,116.54173829181664,-128.31644002520588,107.61918504027244,-111.263026828161,111.6482640294592,175.1410140283538,2.4135408808772016,167.47237912406527,2.4436946575662786,157.62232075361632,2.354466283351468
